PAIS	PIBPCL	K
Albania	3350.262246	449.8045694
Argentina	10994.77315	1598.32836
Armenia	2791.495815	298.264339
Antigua	16679.42918	2065.646011
Australia	25534.79612	6070.614089
Austria	23681.30784	6091.545181
Azerbaijan	2793.275742	370.4497458
Burundi	523.4614769	25.02440878
Belgium	23784.25004	5716.517231
Benin	1214.214427	97.82849932
BurkinaFaso	957.7686162	141.9081644
Bangladesh	1684.5756	208.2550041
Bulgaria	5784.586981	427.6687075
Belarus	8407.56466	1164.804778
Belize	6597.337275	1302.438431
Bolivia	2721.65853	305.3728773
Brazil	7185.02038	1171.340375
Barbados	16413.37422	666.9548617
Canada	26922.21215	7191.676895
Switzerland	26421.59072	7342.468363
Chile	9919.992379	1981.076057
China	3746.983077	784.602378
Coted'Ivoire	1869.105172	112.8615868
Cameroon	2042.027759	120.5515541
Congo	1807.409503	64.07837571
Colombia	5380.133743	493.3615096
Comoros	1576.834802	75.84440078
CapeVerde	4026.528057	573.6932175
Costa	5863.368183	801.9009088
CzechRepublic	13673.13129	3477.799708
Denmark	26627.16343	6667.251653
DominicanRepublic	5270.838869	754.0165227
Algeria	4893.67919	577.8351339
Ecuador	3467.210981	465.4481844
Egypt	4184.309097	250.4518078
Spain	18054.64787	4693.392716
Estonia	9588.487117	1384.345999
Ethiopia	635.0623868	27.91340948
Finland	23798.47981	4973.102169
France	22371.35715	5445.158241
Gabon	8395.330572	651.7961426
UnitedKingdom	22188.23148	4561.776305
Georgia	4903.784353	209.5198818
Germany	22861.05297	5467.570663
Ghana	1349.368134	67.871345
Guinea	2830.891332	217.5901965
Gambia	1216.494372	94.35630617
GuineaBissau	686.3586449	39.65377247
EquatorialGuinea	3610.817923	1765.198343
Greece	14624.61181	3438.907356
Grenada	6186.697724	1520.653842
Guatemala	3913.662484	345.2412086
HongKong	26703.36138	6746.908654
Honduras	2054.109249	426.7746626
Croatia	8523.783138	1411.467569
Hungary	10443.69505	2727.185724
Indonesia	3637.298426	416.7037969
India	2480.260919	342.3905048
Ireland	26378.96681	5671.905506
Iran	5990.679145	914.8726917
Iceland	24794.00901	7185.882698
Israel	16939.58419	4323.271795
Italy	21794.18331	4812.628695
Jamaica	3691.87265	688.3302733
Jordan	3892.165515	445.0345131
Japan	24671.66278	7464.323533
Kazakhstan	7393.579061	575.7079538
Kenya	1244.438021	96.01370871
Kyrgyzstan	3013.51985	216.2541453
StKitts&Nevis	13671.4843	2334.323092
Koreasur	15881.33526	4449.413726
Lebanon	5779.853398	482.3780887
StLucia	6328.457689	903.8525686
SriLanka	3299.799059	465.2079401
Lesotho	1594.017618	523.2334181
Lithuania	7241.617424	1055.225746
Luxembourg	44008.5037	11130.66452
Latvia	7647.797455	952.6098987
Macao	23841.18675	1845.634655
Morocco	3719.793165	508.6522026
Moldova	2082.060774	186.3753058
Madagascar	835.9397286	27.38128985
Mexico	8766.093461	1958.353221
Macedonia	5134.828712	534.3619633
Mali	969.6082031	61.28014453
Mozambique	1036.916197	50.38861446
Mauritius	13927.67696	1581.325883
Malawi	783.4258203	29.30996778
Malaysia	9936.607337	1978.937042
Niger	875.1463451	33.61203076
Nigeria	712.755807	177.5462639
Nicaragua	1766.796889	336.923157
Netherlands	24313.17293	5602.855811
Norway	27043.96851	7594.435581
Nepal	1460.125583	242.7195115
NewZealand	18824.45965	4324.839084
Pakistan	2006.607557	184.1107632
Panama	6066.097234	1715.257708
Peru	4583.026961	810.2184264
Philippines	3423.645591	457.644203
Poland	9228.513387	2277.262847
Portugal	15955.1345	4502.117814
Paraguay	4682.223253	514.0408381
Romania	4286.714355	543.428658
Russia	8012.728454	850.6844347
Rwanda	895.5422309	30.446544
Senegal	1621.508039	116.2090922
ElSalvador	4434.905365	396.799472
Sao	1231.248465	230.3879149
Slovak	11417.45702	3026.498478
Slovenia	15755.93806	4537.089979
Sweden	23661.81614	4910.81126
Swaziland	5224.538256	921.7684461
Seychelles	10232.24973	1634.816437
Syria	4093.710116	294.0626503
Chad	909.402495	62.25992511
Togo	870.5935986	110.4423488
Thailand	6856.967159	1356.264924
Tajikistan	1321.342709	121.4479744
TrinidadTobago	11147.76451	987.3232866
Tunisia	6777.447471	917.2339441
Turkey	6837.720994	1514.82737
Tanzania	481.8431863	44.56366701
Uganda	940.3673714	35.60396072
Ukraine	4623.611616	482.3292844
Uruguay	9612.937345	998.8207282
USA	33308.39948	8361.699951
StVincent	7146.028714	640.6837508
Venezuela	6420.101985	947.9178828
Yemen	817.7050875	70.36396899
SouthAfrica	7541.096274	549.5469535
Zambia	891.8486766	125.1794225
Zimbabwe	2484.419162	217.6180375
